date,평균기온(°C),최고기온(°C),최고기온 시각(hhmi),일강수량(mm)
2016-01-01,-0.1,8.7,1423,
2016-01-02,1.8,10.8,1518,
2016-01-03,4.0,14.5,1519,
2016-01-04,4.8,15.0,1424,
2016-01-05,0.5,4.9,1612,0.0
2016-01-06,1.8,8.8,1505,
2016-01-07,1.0,7.5,1451,
2016-01-08,0.0,7.0,1424,
2016-01-09,-0.3,8.0,1544,
2016-01-10,0.0,9.1,1551,
2016-01-11,1.2,8.6,1408,
2016-01-12,-0.1,7.2,1330,
2016-01-13,-1.7,5.3,1440,
2016-01-14,-1.1,6.4,1403,
2016-01-15,-0.8,8.6,1427,
2016-01-16,1.1,8.6,1555,
2016-01-17,2.8,7.6,1352,1.4
2016-01-18,0.7,5.0,1047,
2016-01-19,-3.0,-0.2,1337,
2016-01-20,-3.8,1.6,1412,
2016-01-21,-2.1,2.9,1547,
2016-01-22,-0.9,5.6,1433,
2016-01-23,-3.8,-0.2,1343,
2016-01-24,-8.3,-5.4,1535,0.5
2016-01-25,-5.3,2.7,1430,
2016-01-26,-3.2,5.7,1444,
2016-01-27,-1.1,8.4,1507,
2016-01-28,0.9,4.0,1332,19.4
2016-01-29,3.1,3.8,1155,14.1
2016-01-30,3.7,7.5,1413,
2016-01-31,1.4,6.7,1420,
2016-02-01,-0.6,5.0,1347,
2016-02-02,-2.3,6.2,1519,
2016-02-03,-1.7,7.7,1600,
2016-02-04,-0.2,7.7,1536,
2016-02-05,1.3,9.6,1457,
2016-02-06,-0.3,5.9,1514,
2016-02-07,-1.6,7.1,1447,
2016-02-08,1.9,8.5,1608,
2016-02-09,4.9,9.3,1344,
2016-02-10,1.7,12.0,1451,
2016-02-11,6.1,14.4,1515,
2016-02-12,9.2,14.4,1941,62.8
2016-02-13,12.0,15.3,2126,9.9
2016-02-14,4.1,14.6,55,
2016-02-15,-1.5,2.3,1421,
2016-02-16,0.2,5.4,1232,
2016-02-17,1.7,8.1,1514,
2016-02-18,2.3,10.3,1447,
2016-02-19,5.0,13.7,1524,
