지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
192,2021-01-01,-1.9,-8.4,641,4.5,1349,,,,,,,7,250,1355,3.9,250,1420,1.2,1043,-7.8,44,1554,65.3,3.4,1022.4,1028.6,955,1024.3,1542,1026.1,9.9,7.6,1100,1.89,11.37,,,,,,1.9,1,-.9,-10.7,,,,,,,,,,1.2,1.7,,
192,2021-01-02,-.4,-4.6,114,5.6,1405,,,,,,,8.8,340,1549,4.3,360,1531,1.2,1031,-8.8,29,1619,56.5,3.3,1023.9,1030.7,2326,1025,121,1027.7,9.9,8.4,1200,2.05,11.27,,,,,,2.6,1.6,.5,-7.5,,,,,,,,,,1.6,2.2,,
192,2021-01-03,.1,-5,306,5.7,1455,,,,,,,7.6,360,1431,3.7,340,1531,1.1,942,-12.3,24,1456,40.9,2.4,1028.6,1034,1023,1030.4,1,1032.4,9.9,6.5,1200,1.98,10.51,,,,,,6.9,4.3,-.1,-7.8,,,,,,,,,,1.4,2,,
192,2021-01-04,-1.5,-7.7,650,7.2,1436,,,,,,,3.6,140,1434,1.9,110,1437,.4,363,-8.6,31,1445,60.5,3.2,1027.1,1033.4,633,1028.3,1715,1030.9,9.9,8.5,1200,1.95,11.29,,,,,,2,.9,0,-9.9,,,,,,,,,,1.2,1.8,,
192,2021-01-05,-.4,-5.5,716,6.9,1147,,,,,,,9,360,1342,3.8,360,1315,1.2,1074,-10,25,1328,51.9,2.9,1023.5,1029,1,1025,1353,1027.2,9.9,3.7,1100,1.6,7.29,,,,,,5.9,3.9,.2,-7.5,,,,,,,,,,1.3,1.8,,
192,2021-01-06,-2.3,-8.1,809,2.2,1441,,,,,,,6,140,2157,3.2,230,2205,1.1,976,-12,34,1446,48,2.5,1020,1028.4,140,1018.9,2350,1023.8,9.9,8.6,1200,2,11.63,,,,,,4,1.6,-1.6,-11.3,,,,,,,,,,1.5,2.1,,
192,2021-01-07,-6.9,-12.1,2400,-1.3,147,,,,,,,11.5,340,1459,5.3,340,1517,2.7,2352,-18,26,1331,41.6,1.6,1020,1026.4,937,1018.5,16,1023.8,9.9,8,1200,2.2,12.38,,,,,,3,2,-2.9,-14.4,,,,,,,,,,1.2,1.8,,
192,2021-01-08,-9.1,-15.4,645,-1.9,1500,,,,,,,7,360,1633,3.2,360,1640,1,870,-18.5,28,1400,48,1.4,1019.6,1026.2,843,1020.2,1457,1023.5,9.9,8.4,1200,2.15,12.26,,,,,,1.4,0,-5.3,-16.8,,,,,,,,,,1.2,1.7,,
192,2021-01-09,-7,-14.8,718,.5,1441,,,,,,,5.9,20,2243,3,360,2247,1,865,-15.6,32,1442,52.9,1.8,1020,1026.1,2128,1020,1529,1023.8,9.9,8.5,1200,2.09,12.95,,,,,,.3,.1,-4.8,-16.5,,,,,,,,,,1.3,1.9,,
192,2021-01-10,-5.6,-12.9,630,1.9,1427,,,,,,,3.4,270,1219,1.9,290,1225,.6,509,-11.1,41,1337,66.8,2.7,1023.5,1029.2,923,1025.3,1356,1027.4,10,7,1200,2.07,11.03,,,,,,3.8,1.9,-3.8,-14.9,,,,,,,,,,.9,1.3,,
192,2021-01-11,-3.3,-7.9,453,1.3,1502,,,,,,,3,110,1211,1.6,90,1217,.4,373,-8.3,50,1301,69.1,3.3,1021.8,1030,1000,1021.7,2354,1025.6,10,1.6,1200,1.03,5.83,,,,,,7.4,5.9,-2.2,-9.7,,,,,,,,,,.6,.8,,
